household_id,food,health,housing,other,transport
110000016_10,2967.2799999999997,0.0,0.0,1471.86,0.0
110000016_12,5205.5599999999995,0.0,1495.02,6563.84,21.18
110000016_13,4090.7599999999998,0.0,721.48,707.64,21.18
110000016_2,4609.48,0.0,12168.6,0.0,0.0
110000016_3,4987.639999999999,0.0,2439.96,3796.06,8.86
110000016_4,7504.639999999999,0.0,250.0,0.0,10.47
110000016_5,5519.92,0.0,4326.24,1759.12,4.61
110000016_7,5448.8,1428.39,811.96,42.53,48.15
110000016_8,4247.32,493.24,288.46,101.75,0.0
110000016_9,3033.36,0.0,0.0,589.68,0.0
110000584_10,5042.12,0.0,371.65000000000003,239.84,0.0
110000584_11,3174.44,0.0,350.0,20.22,5.74
110000584_12,1064.04,0.0,0.0,7112.009999999999,7.94
110000584_2,5328.88,20432.52,251.77,3690.06,5.76
110000584_3,3234.2,0.0,0.0,771.6,5.76
110000584_6,5035.12,0.0,0.0,1891.73,0.0
110000584_8,4938.4800000000005,0.0,371.42,3790.24,342.37
110000584_9,3814.56,246.62,40.52,7030.21,21.71
110000602_1,2782.08,715.75,0.0,351.25,7.38
110000602_10,2093.2400000000002,0.0,100.0,1264.52,0.0
110000602_11,3376.7200000000003,0.0,130.0,3076.4,12.52
110000602_13,323.4,0.0,150.0,0.0,10.98
110000602_2,1774.0800000000002,0.0,0.0,517.26,7.38
110000602_4,2494.3199999999997,0.0,87.57,2258.09,4.01
110000602_5,6586.4400000000005,0.0,108.98,2907.17,0.0
110000602_6,6223.4400000000005,0.0,122.35,970.6099999999999,0.0
110000602_7,5456.400000000001,0.0,482.31,4468.2,106.99
110000602_8,4345.64,0.0,130.0,2104.39,0.0
110000602_9,2745.44,0.0,0.0,608.14,0.0
110000620_1,1303.44,0.0,1541.88,6686.4,0.0
110000620_10,950.32,0.0,0.0,69.66,0.0
110000620_11,0.0,79.56,0.0,4749.94,0.0
110000620_12,2243.12,0.0,547.6600000000001,0.0,0.0
110000620_13,3477.3199999999997,0.0,1362.72,4754.32,111.93
110000620_2,842.4,0.0,367.58,3397.21,0.0
110000620_4,877.6400000000001,0.0,184.51999999999998,0.0,108.83
110000620_7,335.76,0.0,795.1,819.29,0.0
110000620_9,18088.96,0.0,0.0,1297.74,0.0
110001098_1,1136.44,0.0,0.0,0.0,0.0
110001098_10,3976.2000000000003,0.0,983.41,9914.0,0.0
110001098_11,6784.48,0.0,150.53,0.0,20.55
110001098_12,1613.6799999999998,0.0,102.51,0.0,0.0
110001098_2,1616.7199999999998,0.0,0.0,3190.67,0.0
110001098_3,0.0,0.0,523.6,49.92,0.0
110001098_4,0.0,0.0,0.0,87.3,38.35
110001098_7,1791.48,0.0,50.24,6854.68,0.0
110001098_8,3936.3200000000006,2137.4399999999996,240.0,3110.53,0.0
110001197_1,1238.6,0.0,447.05,2911.98,0.0
110001197_10,2801.92,0.0,113.75,201.34,0.0
110001197_11,986.52,0.0,67.51,354.34,0.0
110001197_12,1349.4,0.0,112.2,3227.8999999999996,0.0
110001197_13,364.32,0.0,103.79,1271.04,0.0
110001197_3,3102.04,0.0,0.0,2441.7799999999997,0.0
110001197_4,2916.2799999999997,0.0,209.19,3627.1899999999996,273.66
110001197_6,2596.3199999999997,459.57,0.0,279.11,0.0
110001197_7,6110.6,0.0,582.9100000000001,4402.96,0.0
110001197_9,578.72,0.0,55.39,1746.0100000000002,0.0
110001240_1,2900.36,1523.3,0.0,1380.09,0.0
110001240_11,1996.36,50.86,518.41,2326.5800000000004,156.55
110001240_12,549.04,0.0,510.03000000000003,456.03,240.3
110001240_13,2275.96,0.0,0.0,893.26,3.96
110001240_2,1789.32,0.0,734.38,1385.92,1.16
110001240_3,1006.08,0.0,0.0,952.43,0.0
110001240_4,1015.4799999999999,81.24,0.0,1075.58,243.61
110001240_6,831.0799999999999,0.0,0.0,0.0,0.0
110001240_7,904.1199999999999,0.0,0.0,1861.43,0.0
110001240_8,880.44,0.0,0.0,0.0,0.0
110001240_9,2750.0,0.0,2869.71,115.59,0.0
110001278_1,9541.92,0.0,787.92,1431.03,0.0
110001278_2,1696.4800000000002,0.0,1168.47,0.0,2.69
110001278_4,9813.12,0.0,3634.87,3698.21,87.57
110001278_5,12211.039999999999,0.0,707.79,11709.37,3.73
110001278_7,11177.52,982.69,102.0,4286.2699999999995,0.0
110001278_9,4050.48,0.0,711.53,86.1,332.78000000000003
110001665_10,3625.84,0.0,0.0,3383.32,0.0
110001665_12,673.84,0.0,0.0,4322.21,0.0
110001665_14,696.08,0.0,0.0,0.0,0.0
110001665_16,1249.08,0.0,0.0,0.0,0.0
110001665_2,6017.52,0.0,74.53,1159.84,102.38999999999999
110001665_4,3771.1600000000003,0.0,0.0,2033.75,0.0
110001665_5,1272.0,0.0,409.87,5648.08,4.57
110001665_7,370.6,0.0,260.91,1744.67,130.72
110001665_8,304.08,0.0,56.92,0.0,0.0
110001665_9,1647.68,0.0,0.0,867.45,0.0
110002023_1,661.64,0.0,275.77,0.0,0.0
110002023_10,2586.64,0.0,194.64,0.0,0.0
110002023_12,3177.28,0.0,29.61,0.0,0.0
110002023_13,2236.3599999999997,0.0,119.83,0.0,0.0
110002023_2,3759.1200000000003,0.0,341.96,12.34,0.0
110002023_5,3400.08,0.0,1762.15,0.0,0.0
110002023_6,2298.16,81.22,270.33,202.4,0.0
110002023_8,2606.3199999999997,0.0,413.94,0.0,0.0
110002023_9,2105.32,0.0,299.17,0.0,0.0
110002041_1,0.0,0.0,0.0,2355.49,0.0
110002041_11,1920.2000000000003,0.0,56.040000000000006,0.0,0.0
110002041_12,1756.44,0.0,0.0,1748.0700000000002,0.0
110002041_13,2749.8,0.0,0.0,393.97,0.0
110002041_14,316.32,0.0,0.0,2342.3599999999997,0.0
110002041_16,301.88,0.0,0.0,3863.4700000000003,0.0
110002041_17,1815.76,3293.81,117.86,0.0,0.0
110002041_2,853.12,0.0,0.0,6293.1900000000005,0.0
110002041_3,288.32,0.0,0.0,2926.31,0.0
110002041_4,1581.32,0.0,225.1,1669.3899999999999,0.0
110002041_6,297.04,0.0,0.0,867.83,0.0
110002041_7,2149.6000000000004,0.0,0.0,2456.29,0.0
110002041_8,1973.64,0.0,0.0,936.65,0.0
110002050_1,2749.88,0.0,0.0,1792.92,0.0
110002050_12,2560.12,0.0,4055.44,0.0,680.04
110002050_13,1824.44,0.0,200.0,4009.5499999999997,0.0
110002050_2,1707.32,25388.32,0.0,60.2,0.0
110002050_7,997.24,0.0,0.0,3433.4700000000003,0.0
110002050_8,1021.1999999999999,0.0,336.0,7589.150000000001,0.0
110002050_9,2476.6800000000003,8079.29,491.67,1009.6700000000001,0.0
110002149_1,1702.72,0.0,12.03,167.91,24.43
110002149_10,3085.2799999999997,3059.13,0.0,548.76,16.34
110002149_11,7242.719999999999,209.85,0.0,3379.2799999999997,6.54
110002149_12,256.0,0.0,0.0,67.18,0.0
110002149_13,999.28,302.2,61.38,2543.05,0.0
110002149_2,1040.92,11268.62,0.0,2918.94,0.0
110002149_3,1967.96,0.0,1796.7600000000002,1926.54,0.0
110002149_4,7330.080000000001,0.0,0.0,1939.71,0.0
110002149_5,2248.7999999999997,0.0,313.79,2797.42,6.96
110002149_6,1434.76,2063.56,312.64,841.35,0.0
110002149_7,1004.8,289.94,0.0,87.45,65.63
110002149_8,1913.0,0.0,82.73,1627.6399999999999,0.0
110002291_1,9920.8,0.0,518.94,6310.71,0.0
110002291_10,1351.2399999999998,0.0,252.07,3442.98,0.0
110002291_11,5053.24,0.0,119.82,433.33000000000004,0.0
110002291_12,510.79999999999995,0.0,1362.21,1621.8500000000001,0.0
110002291_13,2805.2799999999997,0.0,0.0,6190.98,0.0
110002291_3,1309.68,0.0,0.0,2520.1,0.0
110002291_4,909.6400000000001,0.0,48.54,122.07,0.0
110002291_5,3569.2000000000003,0.0,80.9,1054.44,0.0
110002291_6,2625.2799999999997,0.0,0.0,1194.92,0.0
110002291_8,4359.68,0.0,122.0,1231.1399999999999,0.0
110002291_9,3091.3199999999997,0.0,360.28,1722.43,0.0
110002334_1,4291.4,0.0,0.0,70.62,0.0
110002334_11,2150.16,0.0,298.16,0.0,0.0
110002334_12,2816.2799999999997,0.0,201.06,0.0,30.39
110002334_13,1530.3600000000001,0.0,99.19,0.0,0.0
110002334_2,4157.32,0.0,0.0,0.0,29.22
110002334_3,3568.3599999999997,0.0,298.03,0.0,0.0
110002334_5,2497.12,0.0,0.0,0.0,5.18
110002334_6,1092.3999999999999,0.0,198.77,0.0,0.0
110002334_7,1473.44,0.0,98.64,300.9,0.0
110002334_8,2873.48,0.0,218.21,0.0,0.0
110004152_1,3130.44,0.0,4386.56,2555.76,0.0
110004152_10,3995.8799999999997,0.0,0.0,1168.19,0.0
110004152_11,321.24,0.0,0.0,1423.28,0.0
110004152_12,3851.88,0.0,10.7,707.52,0.0
110004152_14,1451.7599999999998,0.0,0.0,179.72,0.0
110004152_15,628.08,0.0,0.0,236.59,0.0
110004152_16,2433.76,0.0,15.66,1287.87,0.0
110004152_17,3153.52,0.0,0.0,0.0,0.0
110004152_3,984.6,0.0,0.0,0.0,0.0
110004152_4,2165.3199999999997,0.0,0.0,0.0,0.0
110004152_5,1567.12,0.0,0.0,3176.83,0.0
110004152_6,2584.68,0.0,0.0,14.24,0.0
110004152_7,1157.2,0.0,0.0,2230.67,0.0
110004152_8,2761.2,0.0,0.0,1865.07,0.0
110004152_9,2384.8,0.0,742.71,0.0,0.0
110004444_10,2199.2,0.0,0.0,0.0,0.0
110004444_12,2283.44,4107.1,0.0,2615.77,0.0
110004444_13,770.5999999999999,0.0,0.0,634.39,0.0
110004444_14,79.2,0.0,0.0,22.0,0.0
110004444_15,1427.3200000000002,0.0,0.0,1749.87,0.0
110004444_17,1187.68,0.0,0.0,6347.09,0.0
110004444_3,3009.44,0.0,103.12,0.0,0.0
110004444_5,1176.8,0.0,101.85,785.6800000000001,0.0
110004444_6,1861.0,0.0,0.0,76.08,0.0
110004444_7,0.0,0.0,647.92,2142.93,0.0
110004444_8,1405.28,0.0,70.96,0.0,0.0
110004444_9,2689.4799999999996,14221.35,0.0,2986.28,0.0
110004557_1,2975.7599999999998,0.0,1840.82,12657.01,52.98
110004557_12,2522.32,0.0,65.68,2821.57,0.0
110004557_3,2028.4799999999998,0.0,429.36,622.03,0.0
110004584_1,557.52,0.0,56.63,1311.74,0.0
110004584_10,1342.8799999999999,0.0,0.0,4767.5199999999995,0.0
110004584_11,554.88,0.0,0.0,718.13,0.0
110004584_13,1187.8,0.0,380.34999999999997,0.0,0.0
110004584_14,2416.56,0.0,0.0,607.78,0.0
110004584_15,1517.6,0.0,0.0,151.94,0.0
110004584_16,1190.4,0.0,0.0,6284.56,375.03
110004584_3,2994.92,0.0,128.58,367.36,0.0
110004584_4,3370.92,0.0,427.96,3563.57,0.0
110004584_6,5774.280000000001,0.0,455.74,367.28,0.0
110004584_7,1632.04,0.0,20.73,475.1,0.0
110004584_8,1454.0,0.0,106.85,488.99,0.0
110004584_9,1775.2,0.0,103.09,821.45,912.17
110004906_1,4879.96,0.0,0.0,302.65,0.0
110004906_10,1625.96,0.0,298.16,39.85,0.0
110004906_11,2621.0,0.0,0.0,298.89,0.0
110004906_12,3103.4799999999996,0.0,298.16,99.63,0.0
110004906_13,3834.12,0.0,298.16,199.26,0.0
110004906_2,3302.44,0.0,298.03,0.0,0.0
110004906_5,3507.68,0.0,299.63,253.23,0.0
110004906_6,6977.72,0.0,0.0,0.0,0.0
110004906_7,4491.84,0.0,277.72,121.05,0.0
110004906_8,1847.16,0.0,147.89,66.81,0.0
110004906_9,3752.76,0.0,1483.71,0.0,0.0
110005150_1,1130.32,0.0,0.0,0.0,0.0
110005150_10,1585.6399999999999,0.0,15.66,0.0,0.0
110005150_11,1656.72,0.0,15.66,0.0,0.0
110005150_12,1390.1599999999999,0.0,15.66,0.0,0.0
110005150_13,1581.32,0.0,0.0,0.0,0.0
110005150_15,1153.88,0.0,15.66,0.0,0.0
110005150_16,1243.32,0.0,19.72,0.0,0.0
110005150_17,1327.2,0.0,19.72,0.0,0.0
110005150_2,1091.8,0.0,16.22,0.0,0.0
110005150_3,1432.6,0.0,21.43,0.0,0.0
110005150_4,1437.52,0.0,14.79,0.0,0.0
110005150_5,1118.3200000000002,0.0,21.43,0.0,0.0
110005150_6,1972.6,0.0,20.87,0.0,0.0
110005150_7,1169.6799999999998,0.0,20.73,0.0,0.0
110005150_8,1163.0400000000002,0.0,0.0,0.0,0.0
110005150_9,1379.28,0.0,15.66,0.0,0.0
110005362_1,3369.0,9362.15,1395.9499999999998,1842.26,1211.35
110005362_12,11331.96,1174.67,6727.53,20899.84,0.0
110005362_3,5548.96,20.31,564.72,2725.82,0.0
110005362_4,4913.44,0.0,400.96999999999997,1503.32,0.0
110005362_5,3540.6800000000003,0.0,750.0,153.57,0.0
110005362_7,4045.44,650.1899999999999,2667.11,303.85,151.66000000000003
110005362_8,13278.72,0.0,3099.3599999999997,1890.5,294.31
110005400_1,7763.56,0.0,857.21,123.38,0.0
110005400_10,2643.04,0.0,237.89,0.0,96.44
110005400_11,866.2800000000001,0.0,663.37,682.0600000000001,0.0
110005400_12,1441.08,0.0,0.0,985.98,132.87
110005400_13,1588.52,0.0,73.34,0.0,100.73
110005400_2,2048.96,0.0,417.45,0.0,0.0
110005400_4,2674.6800000000003,0.0,62.19,0.0,0.0
110005400_5,1772.88,0.0,267.12,0.0,0.0
110005400_6,3100.4,0.0,0.0,0.0,0.0
110005400_7,927.52,0.0,0.0,0.0,0.0
110005400_8,2273.92,0.0,129.76,0.0,0.0
110005400_9,1583.8400000000001,0.0,0.0,0.0,0.0
110005482_1,791.32,0.0,321.57,79.3,0.0
110005482_10,313.64,0.0,0.0,0.0,0.0
110005482_11,5035.12,0.0,0.0,1891.73,0.0
110005482_12,1232.92,1315.44,307.57,2120.02,0.0
110005482_13,2919.2,0.0,0.0,444.31,0.0
110005482_3,2072.2799999999997,0.0,302.49,1101.65,0.0
110005482_4,2932.1600000000003,0.0,0.0,2669.35,149.59
110005482_8,979.5999999999999,0.0,300.0,4899.63,0.0
110005482_9,2295.92,0.0,1011.0,1803.3799999999999,0.0
110005539_1,726.04,0.0,366.09,2522.09,0.0
110005539_10,3036.2400000000002,0.0,609.0,1349.04,9.24
110005539_2,5498.04,29.78,1059.32,3279.1500000000005,82.1
110005539_4,1524.6399999999999,0.0,420.0,113.58,5.47
110005539_5,14001.92,581.47,14088.800000000001,2187.7400000000002,41.86
110005539_6,294.92,602.63,0.0,74.08,0.0
110005539_8,6888.88,0.0,664.53,1711.1499999999999,0.0
110005539_9,8492.960000000001,0.0,573.17,3148.37,0.0
110005695_1,1263.52,0.0,76.25,0.0,0.0
110005695_10,2639.9199999999996,0.0,1794.76,3252.85,535.75
110005695_11,3330.08,0.0,838.63,3409.41,0.0
110005695_12,7290.24,0.0,132.04,3088.2000000000003,0.0
110005695_13,3253.24,0.0,0.0,315.87,0.0
110005695_2,2300.32,8218.9,151.0,3453.22,0.0
110005695_3,2711.08,0.0,632.04,3703.39,335.21
110005695_4,4316.16,2564.66,0.0,4863.3099999999995,0.0
110005695_5,2492.44,0.0,236.74,3100.45,0.0
110005695_7,2542.6000000000004,0.0,617.62,1562.3,183.36
110005695_8,2806.72,0.0,0.0,123.35,0.0
110005695_9,3578.8399999999997,0.0,0.0,74.83,0.0
110005954_1,1540.76,0.0,442.16999999999996,4297.12,0.0
110005954_10,3255.28,0.0,348.14,340.29999999999995,0.0
110005954_11,704.52,0.0,0.0,1980.06,0.0
110005954_12,0.0,0.0,364.75,0.0,0.0
110005954_3,1424.1999999999998,0.0,0.0,371.39,0.0
110005954_4,1453.68,700.3000000000001,0.0,387.5,0.0
110005954_5,2779.96,0.0,253.34,2262.26,358.9
110005954_8,2458.56,0.0,0.0,1059.8300000000002,0.0
110005954_9,3215.56,0.0,246.49,15.04,15.55
110006066_1,2588.64,412.2,0.0,950.4599999999999,0.0
110006066_11,3496.44,0.0,450.03,299.42,0.0
110006066_12,2106.56,0.0,394.8,240.59,0.0
110006066_2,3465.32,0.0,300.0,243.3,0.0
110006066_3,1300.84,0.0,0.0,1980.06,0.0
110006066_4,2570.2000000000003,0.0,0.0,0.0,0.0
110006066_5,1842.6,0.0,369.16,99.85,0.0
110006066_6,2640.48,0.0,394.38,0.0,0.0
110006066_7,2885.0,0.0,298.16,0.0,0.0
110006066_8,1117.92,0.0,110.0,0.0,0.0
110006066_9,1740.32,0.0,148.78,0.0,0.0
110006184_1,4428.72,0.0,267.97,3276.6099999999997,0.0
110006184_10,1159.68,0.0,260.91,151.42999999999998,0.0
110006184_11,1637.1599999999999,0.0,0.0,0.0,0.0
110006184_12,2214.56,0.0,260.91,2596.73,0.0
110006184_13,2708.12,0.0,96.44,476.44,0.0
110006184_4,1065.88,0.0,62.19,134.82,0.0
110006184_5,1863.0,0.0,409.35,1847.29,70574.95
110006184_6,3114.56,0.0,238.36,332.21999999999997,0.0
110006184_7,1839.56,2068.81,39.41,2763.7,0.0
110006184_8,2410.64,0.0,0.0,476.48,0.0
110006184_9,2946.4399999999996,0.0,416.85,1001.1600000000001,0.0
110006375_1,2360.0,0.0,0.0,1143.5,0.0
110006375_10,2084.52,0.0,803.4300000000001,2104.93,1149.46
110006375_13,1077.84,0.0,347.71,2429.9500000000003,20.87
110006375_2,2417.2400000000002,0.0,554.56,492.96000000000004,0.0
110006375_3,3094.3199999999997,0.0,4712.45,7709.54,0.0
110006375_4,3706.56,0.0,462.78999999999996,4044.4700000000003,235.06
110006375_5,2174.04,0.0,0.0,100.32,0.0
110006375_6,2637.7999999999997,0.0,625.97,50.83,0.0
110006375_7,1912.2,0.0,0.0,70.75,0.0
