household_id,UF,SITUACAO
110005400_1,11,1
110005400_2,11,1
110005400_4,11,1
110005400_5,11,1
110005400_6,11,1
110005400_7,11,1
110005400_8,11,1
110005400_9,11,1
110005400_10,11,1
110005400_11,11,1
110005400_12,11,1
110005400_13,11,1
110020039_1,11,2
110020039_2,11,2
110020039_4,11,2
110020039_5,11,2
110020039_6,11,2
110020039_7,11,2
110020039_8,11,2
110020039_9,11,2
110020039_10,11,2
110020039_11,11,2
110020039_12,11,2
110020039_13,11,2
110020039_14,11,2
110020039_15,11,2
110020039_16,11,2
110020039_17,11,2
110017213_1,11,1
110017213_2,11,1
110017213_3,11,1
110017213_4,11,1
110017213_5,11,1
110017213_6,11,1
110017213_7,11,1
110017213_8,11,1
110017213_9,11,1
110017213_10,11,1
110017213_11,11,1
110017213_12,11,1
110004584_1,11,2
110004584_3,11,2
110004584_4,11,2
110004584_6,11,2
110004584_7,11,2
110004584_8,11,2
110004584_9,11,2
110004584_10,11,2
110004584_11,11,2
110004584_13,11,2
110004584_14,11,2
110004584_15,11,2
110004584_16,11,2
110000620_1,11,1
110000620_2,11,1
110000620_4,11,1
110000620_7,11,1
110000620_9,11,1
110000620_10,11,1
110000620_11,11,1
110000620_12,11,1
110000620_13,11,1
110018420_2,11,1
110018420_4,11,1
110018420_6,11,1
110018420_7,11,1
110018420_8,11,1
110018420_10,11,1
110018420_11,11,1
110018420_12,11,1
110002334_1,11,1
110002334_2,11,1
110002334_3,11,1
110002334_5,11,1
110002334_6,11,1
110002334_7,11,1
110002334_8,11,1
110002334_11,11,1
110002334_12,11,1
110002334_13,11,1
110019980_1,11,1
110019980_3,11,1
110019980_4,11,1
110019980_5,11,1
110019980_6,11,1
110019980_8,11,1
110019980_9,11,1
110019980_10,11,1
110019980_12,11,1
110006066_1,11,1
110006066_2,11,1
110006066_3,11,1
110006066_4,11,1
110006066_5,11,1
110006066_6,11,1
110006066_7,11,1
110006066_8,11,1
110006066_9,11,1
110006066_11,11,1
110006066_12,11,1
110010509_1,11,1
110010509_2,11,1
110010509_3,11,1
110010509_5,11,1
110010509_7,11,1
110010509_8,11,1
110010509_9,11,1
110010509_10,11,1
110010509_11,11,1
110010509_12,11,1
110010509_13,11,1
110005695_1,11,1
110005695_2,11,1
110005695_3,11,1
110005695_4,11,1
110005695_5,11,1
110005695_7,11,1
110005695_8,11,1
110005695_9,11,1
110005695_10,11,1
110005695_11,11,1
110005695_12,11,1
110005695_13,11,1
110002291_1,11,1
110002291_3,11,1
110002291_4,11,1
110002291_5,11,1
110002291_6,11,1
110002291_8,11,1
110002291_9,11,1
110002291_10,11,1
110002291_11,11,1
110002291_12,11,1
110002291_13,11,1
110010188_1,11,1
110010188_2,11,1
110010188_3,11,1
110010188_4,11,1
110010188_5,11,1
110010188_6,11,1
110010188_7,11,1
110010188_8,11,1
110010188_9,11,1
110010188_10,11,1
110010188_11,11,1
110010188_12,11,1
110012387_2,11,1
110012387_5,11,1
110012387_6,11,1
110012387_7,11,1
110012387_8,11,1
110012387_10,11,1
110012387_12,11,1
110012387_13,11,1
110017124_4,11,1
110017124_5,11,1
110017124_6,11,1
110017124_7,11,1
110017124_8,11,1
110017124_10,11,1
110017124_11,11,1
110017124_12,11,1
110017124_1,11,1
110017124_2,11,1
110019509_1,11,1
110019509_2,11,1
110019509_3,11,1
110019509_4,11,1
110019509_5,11,1
110019509_6,11,1
110019509_8,11,1
110019509_9,11,1
110019509_10,11,1
110019509_11,11,1
110019509_12,11,1
110019509_13,11,1
110020900_1,11,1
110020900_2,11,1
110020900_3,11,1
110020900_4,11,1
110020900_5,11,1
110020900_8,11,1
110020900_10,11,1
110020900_11,11,1
110020900_12,11,1
110020900_13,11,1
110007860_1,11,1
110007860_3,11,1
110007860_4,11,1
110007860_5,11,1
110007860_6,11,1
110007860_7,11,1
110007860_8,11,1
110007860_11,11,1
110006184_1,11,1
110006184_4,11,1
110006184_5,11,1
110006184_6,11,1
110006184_7,11,1
110006184_8,11,1
110006184_9,11,1
110006184_10,11,1
110006184_11,11,1
110006184_12,11,1
110006184_13,11,1
110005482_1,11,1
110005482_3,11,1
110005482_4,11,1
110005482_8,11,1
110005482_9,11,1
110005482_10,11,1
110005482_11,11,1
110005482_12,11,1
110005482_13,11,1
110009955_2,11,1
110009955_3,11,1
110009955_5,11,1
110009955_6,11,1
110009955_7,11,1
110009955_8,11,1
110009955_10,11,1
110009955_12,11,1
110009955_13,11,1
110006893_1,11,1
110006893_2,11,1
110006893_4,11,1
110006893_5,11,1
110006893_6,11,1
110006893_8,11,1
110006893_10,11,1
110006893_12,11,1
110006893_13,11,1
110020167_1,11,1
110020167_2,11,1
110020167_3,11,1
110020167_4,11,1
110020167_6,11,1
110020167_7,11,1
110020167_9,11,1
110020167_10,11,1
110020167_11,11,1
110020167_12,11,1
110020167_13,11,1
110022774_1,11,1
110022774_3,11,1
110022774_5,11,1
110022774_6,11,1
