household_id,ANOS_EST,NIVEL_INST,RENDA_PC,hh_size
110000016_2,5,2,1237.1830555556,3
110000016_3,12,5,1265.6441666667,4
110000016_4,5,2,1317.6766666667,2
110000016_5,12,5,1965.761,5
110000016_7,12,5,1083.5085555556,5
110000016_8,12,5,2472.5645833333,4
110000016_9,11,4,577.1920833333,4
110000016_10,5,2,441.4270833333,4
110000016_12,8,2,849.2272916667,4
110000016_13,10,4,1492.9766666667,1
110000584_2,6,2,871.7720833333,4
110000584_3,6,2,1520.1898333333,5
110000584_6,6,2,1474.46125,6
110000584_8,16,7,2752.7475,2
110000584_9,16,7,2124.2288888889,4
110000584_10,16,7,2111.58375,2
110000584_11,12,5,729.1669444444,3
110000584_12,12,5,2286.6979166667,2
110000602_1,5,2,3631.0845833333,2
110000602_2,1,2,1010.1633333333,2
110000602_4,9,3,1190.5033333333,1
110000602_5,12,5,3441.9875,2
110000602_6,15,6,2676.6416666667,2
110000602_7,8,2,298.3376388889,6
110000602_8,16,7,932.0875,3
110000602_9,6,2,453.828,5
110000602_10,4,2,734.8127083333,4
110000602_11,12,5,1233.0921527778,4
110000602_13,5,2,1774.4608333333,2
110000620_1,12,5,503.51,4
110000620_2,12,5,1761.6475,1
110000620_4,7,2,411.3219444444,3
110000620_7,16,7,437.7064583333,4
110000620_9,1,2,2201.9720833333,2
110000620_10,3,2,736.9283333333,1
110000620_11,16,7,5652.1616666667,1
110000620_12,7,2,1859.8195833333,2
110000620_13,8,2,705.9354166667,4
110001098_1,6,2,1023.3479166667,2
110001098_2,8,2,1001.9729166667,2
110001098_3,16,7,1869.2516666667,1
110001098_4,10,4,2564.6152777778,3
110001098_7,14,6,1763.5016666667,3
110001098_8,16,7,1664.098125,4
110001098_10,16,7,5702.7729166667,2
110001098_11,16,7,1687.4296111111,5
110001098_12,7,2,162.5070833333,4
110001197_1,8,2,663.2791666667,2
110001197_3,12,5,432.7070833333,6
110001197_4,8,2,537.1370833333,4
110001197_6,0,1,674.1854166667,2
110001197_7,16,7,1978.6797916667,4
110001197_9,0,1,2429.7041666667,1
110001197_10,7,2,558.8575925926,3
110001197_11,12,5,1755.8419444444,2
110001197_12,5,2,1124.5251388889,2
110001197_13,5,2,212.959375,4
110001240_1,12,5,1585.2911666667,5
110001240_2,9,3,835.3335185185,3
110001240_3,3,2,1204.6508333333,1
110001240_4,8,2,1582.9908333333,1
110001240_6,2,2,969.7133333333,1
110001240_7,2,2,1319.1020833333,2
110001240_8,0,1,898.46,1
110001240_9,8,2,1140.3740740741,3
110001240_11,12,5,125.1355555556,3
110001240_12,12,5,386.6619444444,3
110001240_13,2,2,630.7397222222,3
110001278_1,12,5,740.3975,2
110001278_2,0,1,1508.2066666667,3
110001278_4,16,7,2060.9529166667,4
110001278_5,16,7,9418.0775,3
110001278_7,16,7,1966.3750694444,4
110001278_9,9,3,1613.2416666667,2
110001665_2,12,5,868.629,5
110001665_4,16,7,2384.2166666667,2
110001665_5,1,2,1709.1133333333,4
110001665_7,2,2,2796.145,2
110001665_8,0,1,560.0733333333,1
110001665_9,9,3,2169.5208333333,1
110001665_10,5,2,837.1116666667,2
110001665_12,6,2,356.0125,4
110001665_14,5,2,2431.0375,1
110001665_16,6,2,933.7991666667,1
110002023_1,5,2,796.2077777778,3
110002023_2,15,7,875.2416666667,4
110002023_5,0,1,658.4154166667,2
110002023_6,0,1,246.77,1
110002023_8,9,3,932.3815740741,3
110002023_9,11,4,796.635,2
110002023_10,3,2,918.7888888889,3
110002023_12,12,4,751.8089583333,4
110002023_13,3,2,1046.8345833333,2
110002041_1,12,5,2497.3841666667,1
110002041_2,12,5,1646.2233333333,3
110002041_3,16,7,2341.7129166667,2
110002041_4,5,2,1598.3744444444,3
110002041_6,5,2,758.528125,4
110002041_7,14,7,1229.7583333333,2
110002041_8,6,2,600.3725,3
110002041_11,5,2,810.585,3
110002041_12,11,4,1008.7943333333,5
110002041_13,6,2,554.7958333333,4
110002041_14,6,2,1565.645,1
110002041_16,4,2,2771.1458333333,2
110002041_17,0,1,1022.4716666667,2
110002050_1,15,7,934.0633333333,3
110002050_2,0,1,1078.64,3
110002050_7,3,2,1228.8425,2
110002050_8,12,5,311.9197222222,3
110002050_9,1,2,1199.8458333333,2
110002050_12,3,2,288.0858333333,4
110002050_13,8,2,588.8701851852,6
110002149_1,12,5,374.3379166667,4
110002149_2,12,5,1747.0904166667,2
110002149_3,12,5,399.9688425926,6
110002149_4,16,7,6690.4252777778,3
110002149_5,5,2,247.3579166667,4
110002149_6,12,5,245.1347222222,3
110002149_7,5,2,1782.0325,1
110002149_8,5,2,997.6335714286,7
110002149_10,0,1,1147.7933333333,4
110002149_11,15,6,1283.3369444444,3
110002149_12,12,5,323.1075,5
110002149_13,12,5,1332.4652083333,4
110002291_1,16,7,1849.5854166667,4
110002291_3,13,6,1387.7520833333,2
110002291_4,3,2,2286.7483333333,1
110002291_5,3,2,2797.7860416667,4
110002291_6,5,2,1829.4920833333,2
110002291_8,9,3,627.6002777778,3
110002291_9,15,6,1150.8072222222,3
110002291_10,12,5,648.4883333333,2
110002291_11,5,2,952.9183333333,3
110002291_12,0,1,616.6655555556,3
110002291_13,16,7,871.7844444444,3
110002334_1,16,7,1058.85625,4
110002334_2,16,7,899.9112777778,5
110002334_3,0,1,593.7477083333,4
110002334_5,0,1,1055.08,3
110002334_6,10,4,42.7958333333,2
110002334_7,12,5,1156.1466666667,1
110002334_8,14,6,457.8238333333,5
110002334_11,14,6,723.817962963,3
110002334_12,12,5,991.7455555556,3
110002334_13,12,5,583.4208333333,2
110004152_1,1,2,1587.2666666667,3
110004152_3,0,1,421.3979166667,4
110004152_4,4,2,753.5047222222,3
110004152_5,5,2,1715.6358333333,3
110004152_6,0,1,1034.6606666667,5
110004152_7,12,5,449.28,3
110004152_8,1,2,807.2194444444,6
110004152_9,6,2,605.3561111111,6
110004152_10,12,5,555.555,4
110004152_11,8,2,161.4791666667,2
110004152_12,3,2,1517.4905555556,3
110004152_14,3,2,1325.2716666667,2
110004152_15,4,2,919.7125,1
110004152_16,5,2,479.4853333333,5
110004152_17,9,3,803.8886111111,6
110004444_3,9,3,1106.2005555556,5
110004444_5,8,2,585.725,4
110004444_6,8,2,548.8866666667,3
110004444_7,2,2,3379.4308333333,1
110004444_8,5,2,4479.375,1
110004444_9,0,1,1243.5066666667,3
110004444_10,2,2,760.19,2
110004444_12,8,2,636.365625,4
110004444_13,5,2,-193.45,1
110004444_14,9,3,1197.5633333333,1
110004444_15,0,1,3134.7019444444,3
110004444_16,0,1,659.7658333333,2
110004444_17,3,2,1144.1852777778,3
110004557_1,16,7,1988.8483333333,1
110004557_3,12,5,833.2523333333,5
110004557_12,1,2,1475.5904166667,2
110004584_1,11,4,115.374375,4
110004584_3,4,2,1165.2595833333,2
110004584_4,6,2,4761.6664583333,4
110004584_6,9,3,10645.1495833333,2
110004584_7,10,4,1230.0525,3
110004584_8,1,2,411.110625,4
110004584_9,8,2,602.6427777778,3
110004584_10,12,5,1945.3983333333,1
110004584_11,6,2,1586.9658333333,1
110004584_13,2,2,1251.26875,2
110004584_14,1,2,677.7533333333,3
110004584_15,9,3,39.4905555556,3
110004584_16,5,2,1192.0758333333,6
110004906_1,16,7,1767.9138888889,3
110004906_2,12,5,458.0308333333,3
110004906_5,4,2,774.26875,4
110004906_6,16,7,1490.29,1
110004906_7,9,3,3951.09,2
110004906_8,12,5,933.5558333333,3
110004906_9,0,1,1716.3408333333,2
110004906_10,12,5,491.5275,2
110004906_11,4,2,592.6336805556,4
110004906_12,16,7,801.2808333333,2
110004906_13,12,5,908.1770138889,4
110005150_1,12,5,456.0316666667,2
110005150_2,5,2,668.185,2
110005150_3,6,2,1064.0127777778,3
110005150_4,5,2,507.2804166667,4
110005150_5,5,2,1004.56125,2
110005150_6,10,4,198.6766666667,6
110005150_7,0,1,1499.2466666667,2
110005150_8,3,2,495.1366666667,3
110005150_9,5,2,542.6433333333,3
110005150_10,0,1,1214.0016666667,2
110005150_11,2,2,1560.6966666667,2
110005150_12,12,5,549.5572916667,4
110005150_13,5,2,459.129375,4
110005150_15,0,1,1161.6416666667,2
110005150_16,2,2,706.1358333333,3
110005150_17,5,2,407.0733333333,3
110005362_1,13,6,2504.3377777778,3
110005362_3,9,3,1411.5614583333,4
110005362_4,5,2,849.3383333333,2
110005362_5,16,6,3574.1633333333,3
110005362_7,12,5,1295.33625,4
110005362_8,0,1,2303.7859259259,6
110005362_12,16,7,1238.6161666667,5
110005400_1,16,7,2488.984375,4
110005400_2,12,5,3474.6255555556,3
110005400_4,6,2,1282.5276851852,3
110005400_5,0,1,2113.1558333333,1
110005400_6,14,7,2039.5666666667,3
110005400_7,12,5,535.74375,2
110005400_8,5,2,2236.575,1
110005400_9,12,5,973.3302777778,3
110005400_10,6,2,999.0733333333,5
110005400_11,7,2,1111.2483333333,3
110005400_12,0,1,964.748125,4
110005400_13,5,2,703.0641666667,6
110005482_1,0,1,1099.4675,1
110005482_3,7,2,771.9986111111,3
110005482_4,12,5,920.2,3
110005482_8,12,5,1000.42125,2
110005482_9,7,2,779.068125,4
110005482_10,5,2,242.7925,1
110005482_11,4,2,895.9125,3
110005482_12,3,2,3105.91875,2
110005482_13,16,7,1225.1048148148,3
110005539_1,3,2,878.1725694444,4
110005539_2,6,2,1114.5916666667,2
110005539_4,12,5,1370.4925,2
110005539_5,11,4,3381.2775,2
110005539_6,12,5,950.0948611111,6
110005539_8,12,5,1541.1433333333,3
110005539_9,7,2,2060.209375,4
110005539_10,16,7,729.9432407407,3
110005695_1,0,1,1121.4816666667,2
110005695_2,6,2,2426.270625,4
110005695_3,16,7,4749.1083333333,1
110005695_4,9,3,789.2276666667,5
110005695_5,10,4,1456.7630555556,3
110005695_7,16,7,2297.7558333333,1
110005695_8,12,5,1170.2379166667,2
110005695_9,5,2,938.6341666667,2
110005695_10,12,5,1514.7070833333,2
110005695_11,16,7,2497.5188888889,3
110005695_12,12,5,1772.2919444444,3
110005695_13,5,2,2525.1691666667,1
110005954_1,16,7,2877.1541666667,1
110005954_3,0,1,1693.1075,1
110005954_4,0,1,1596.6754166667,2
110005954_5,9,3,654.7202777778,3
110005954_8,12,5,1693.7325,2
110005954_9,3,2,990.3206666667,5
110005954_10,9,3,1161.6872916667,4
110005954_11,8,2,413.435,4
110005954_12,5,2,209.1425,3
110006066_1,3,2,413.1295833333,6
110006066_2,9,3,554.8614583333,4
110006066_3,8,2,1098.6604166667,2
110006066_4,3,2,1150.5691666667,2
110006066_5,9,3,1754.2658333333,1
110006066_6,5,2,39.89,2
110006066_7,6,2,444.7658333333,3
110006066_8,5,2,325.6583333333,4
110006066_9,12,5,818.8298148148,3
110006066_11,5,2,735.2819444444,3
110006066_12,12,5,422.8702777778,3
110006184_1,4,2,969.8555555556,3
110006184_4,9,3,318.6097222222,3
110006184_5,16,7,3928.3277777778,2
110006184_6,12,5,724.6662962963,6
110006184_7,9,3,1213.3784259259,3
110006184_8,5,2,1164.5979166667,4
110006184_9,4,2,1257.4872916667,4
110006184_10,11,4,542.2841666667,3
110006184_11,12,5,226.3486111111,3
110006184_12,11,4,1910.175,1
110006184_13,5,2,1590.1083333333,1
110006375_1,6,2,1517.6666666667,1
110006375_2,8,2,600.5,3
110006375_3,10,4,1843.8741666667,1
110006375_4,12,5,584.2270833333,4
110006375_5,9,3,725.0683333333,4
110006375_6,12,5,879.15,3
110006375_7,0,1,1272.2825,2
110006375_8,3,2,255.2441666667,2
110006375_9,9,3,1916.3925,2
110006375_10,5,2,495.6689583333,4
110006375_13,0,1,663.5777777778,3
110006466_7,12,5,871.3262962963,3
110006466_9,9,3,458.7344444444,3
110006466_11,12,5,662.9348611111,4
110006466_13,9,3,1571.9761111111,3
110006493_1,3,2,405.9380555556,3
110006493_2,5,2,2609.095,2
110006493_3,6,2,362.4422222222,3
110006493_4,6,2,166.9608333333,3
110006493_5,12,5,651.8994444444,4
110006493_6,3,2,521.5552777778,3
110006493_7,3,2,427.585,4
110006493_8,12,5,560.0919444444,3
110006493_9,6,2,799.37,2
110006493_11,3,2,2273.0683333333,1
110006493_12,8,2,740.3293055556,2
110006493_14,5,2,432.0077777778,3
110006493_15,3,2,252.4355555556,3
110006493_17,2,2,2278.5066666667,1
110006893_1,12,5,1356.1423333333,5
110006893_2,9,3,964.3533333333,2
110006893_4,0,1,731.3489583333,4
110006893_5,14,7,1631.0002083333,4
110006893_6,5,2,1278.6583333333,2
110006893_8,1,2,3844.8933333333,2
110006893_10,10,4,1323.0558333333,3
110006893_12,12,5,2049.701,5
110006893_13,12,5,1192.1125,1
110007136_1,5,2,606.9005555556,3
110007136_2,5,2,1035.2533333333,3
110007136_3,5,2,727.1847222222,3
110007136_4,1,2,740.80375,2
110007136_5,9,3,1309.9841666667,4
110007136_6,4,2,1606.3760416667,4
110007136_7,12,5,471.90625,4
110007136_8,2,2,464.4144444444,3
110007136_9,9,3,608.1252083333,4
110007136_11,5,2,875.4683333333,4
110007136_12,12,5,806.0316666667,2
110007136_13,4,2,2106.7941666667,1
110007136_14,12,5,488.5245,5
110007136_15,3,2,775.7704166667,4
110007280_1,4,2,1486.6289583333,4
110007280_2,5,2,1117.8636111111,3
110007280_3,12,5,1347.0575,3
110007280_4,6,2,1637.0970833333,4
110007280_5,4,2,1688.8425,1
110007280_7,11,4,1102.89,1
110007280_8,6,2,819.908125,4
110007280_9,8,2,2685.6491666667,3
110007280_10,8,2,784.0883333333,4
110007280_11,1,2,1991.58,1
110007280_12,0,1,858.4541666667,4
110007280_13,12,5,589.9602777778,3
110007280_14,6,2,934.075,2
110007280_15,11,4,1170.2272916667,4
110007280_16,1,2,782.5363888889,3
110007280_17,16,7,895.7054166667,4
110007860_1,0,1,2022.6211111111,3
110007860_3,16,7,3138.2086666667,5
110007860_4,7,2,815.539375,4
110007860_5,16,7,4065.2902777778,3
110007860_6,5,2,1904.9910416667,4
110007860_7,12,5,1232.0511111111,3
110007860_8,12,5,12083.7958333333,3
110007860_11,3,2,2179.4,1
110008064_2,16,7,1380.1308333333,5
110008064_3,12,5,1244.7766666667,3
110008064_5,12,5,2143.5491666667,2
110008064_9,12,5,1344.2845833333,2
110008064_10,0,1,293.31125,2
110008064_12,12,5,2592.470625,4
110008064_13,5,2,1591.9388888889,3
110008082_1,5,2,467.1933333333,3
110008082_3,2,2,872.095,2
110008082_4,7,2,366.8191666667,1
110008082_6,0,1,1351.1533333333,1
110008082_9,12,5,740.9813194444,4
110008082_11,5,2,1038.2776851852,3
110008082_12,9,3,413.31,2
110008082_13,5,2,528.7633333333,3
110008082_15,7,2,768.7303703704,3
110008082_16,0,1,2520.4616666667,3
110008082_17,5,2,1207.8266666667,2
110008133_1,0,1,1961.9666666667,2
110008133_2,3,2,2436.4525,1
110008133_3,5,2,7706.10125,2
110008133_4,5,2,438.2418333333,5
110008133_5,5,2,3459.08125,2
110008133_6,0,1,803.8270833333,4
110008133_7,7,2,1167.9886805556,4
110008133_8,3,2,893.4575,2
110008133_9,3,2,850.1458333333,3
110008133_10,1,2,1618.2325,2
110008133_11,1,2,1180.6616666667,3
110008133_12,3,2,1280.8236111111,3
110008133_13,1,2,1722.4654166667,2
110008133_14,7,2,1419.8604166667,2
110008133_15,5,2,1099.7129166667,2
110008133_16,12,5,939.3543333333,5
110008133_17,8,2,976.9275,4
110008539_3,16,7,2097.6623333333,5
110008539_4,13,6,1866.8495833333,2
110008539_6,16,7,3461.0388888889,3
110008539_9,13,6,1569.5050925926,3
110008539_10,14,6,908.0498148148,3
110008539_11,16,7,1979.9727777778,3
110008539_12,16,7,1410.2558333333,3
110008778_1,11,4,365.5797222222,3
110008778_2,0,1,804.1833333333,3
110008778_3,11,4,226.6425,3
110008778_4,4,2,980.2075,3
110008778_5,5,2,942.3786666667,5
110008778_6,4,2,665.725,4
110008778_7,9,3,740.34,3
110008778_8,1,2,1439.4391666667,1
110008778_9,3,2,431.765,2
110008778_10,4,2,1219.3708333333,2
110008778_11,6,2,1130.83,2
110008778_12,6,2,835.4304761905,7
110008778_13,3,2,719.0633333333,2
110008778_14,12,5,1606.1605555556,1
110008778_15,4,2,422.1452777778,3
110008778_16,7,2,315.5308333333,4
110008778_17,0,1,1048.2054166667,4
110009624_2,12,5,897.8170833333,6
110009624_4,5,2,1407.0214583333,4
110009642_3,4,2,403.6225,4
110009642_5,4,2,1276.7304166667,2
